lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,breadthLAB,typeLAB,ttSed,ttSedstd,dvSed,dvSedstd,breadthSed,typeSed
34.25,-118.5,8.11883,0.444251,0.098442,0.0588313,1,Ps,12.1853,0.125455,0.0380757,0.00341859,23.6198214694438,Sp,0.287701880856194,0.100052542225024,0.239439440274689,0.187814802082397,0.001,Ps
34.5,-118.5,8.37849,0.511028,0.0864505,0.047176,1,Ps,12.0298,0.188371,0.0333929,0.00146793,14.4399801594881,Sp,0.328446775423104,0.094863066261228,0.18253759523931,0.141659433371564,0.001,Ps
34.75,-118.5,8.49892,0.511336,0.081715,0.0443129,1,Ps,11.9114,0.128884,0.0331379,0.000880794,27.7700846875715,Sp,0.232275468772526,0.0964393561504495,0.168994278889681,0.142680830142463,0.001,Ps
35,-118.5,8.81808,0.51068,0.0702289,0.0410733,1,Ps,11.7509,0.0971131,0.0317326,0.00173605,34.5399404898146,Sp,0.288327189904689,0.0940587319492193,0.148678247161718,0.0984680069097627,0.001,Ps
35.25,-118.5,9.10266,0.637619,0.0766371,0.0405326,1,Ps,11.6301,0.0644288,0.030948,0.00209238,40.180056458381,Sp,0.402767182891141,0.0925289872708995,0.148561429025953,0.0895567492243933,0.001,Ps
35.5,-118.5,9.68751,0.573832,0.117327,0.0404327,1,Ps,11.4872,0.127748,0.0295891,0.00284181,35.6401091001148,Sp,0.337620375952997,0.0997527831303819,0.299444121231681,0.130858127329403,0.001,Ps
35.75,-118.5,9.95695,0.505947,0.110809,0.0363558,1,Ps,11.6774,0.344068,0.0279797,0.00257101,43.0500877393759,Sp,0.363621550764225,0.102343667505383,0.373349468871857,0.139503357343777,0.001,Ps
36,-118.5,9.90392,0.568153,0.102615,0.0408344,1,Ps,11.9502,0.154871,0.0298662,0.00271147,39.3598908998852,Sp,0.627930352684737,0.106412831846554,0.479037189074364,0.15867676876705,0.001,Ps
36.25,-118.5,10.058,0.707789,0.10494,0.0426662,1,Ps,11.6458,0.123928,0.0334241,0.00110885,27.2299153124285,Sp,0.494852717328966,0.108438621457769,0.522579519176229,0.163680904798205,0.001,Ps
36.5,-118.5,9.7852,0.645126,0.0872344,0.0381077,1,Ps,11.5843,0.217472,0.033743,0.00189297,30,Sp,0.336990814379472,0.106229299960095,0.448405545134282,0.217599984157968,0.001,Ps
36.75,-118.5,10.0265,0.700337,0.0844518,0.0357498,1,Ps,11.5521,0.312598,0.0383583,0.002097,22.5900282291905,Sp,0.287197998809978,0.104124909766301,0.415732947336443,0.267518507366905,0.001,Ps
37,-118.5,10.4677,0.574875,0.148638,0.044135,1,Ps,11.2746,0.313283,0.0396403,0.0039661,34.8199504100706,Sp,0.207801224284667,0.0993242489017347,0.311585232048293,0.309710707832093,0.001,Ps
37.25,-118.5,10.6225,0.638939,0.127026,0.0441181,1,Ps,11.1961,0.219906,0.0339386,0.00685905,35.7400625619898,Sp,0.212973009819221,0.100578546137289,0.324415846858235,0.350395217031606,0.001,Ps
37.5,-118.5,10.9725,0.513875,0.116155,0.0430408,1,Ps,11.1561,0.505064,0.0274154,0.00544048,38.7998710593732,Sp,0.273987020989498,0.102782591400551,0.375784218828422,0.368065028616366,0.001,Ps
37.75,-118.5,10.933,0.51578,0.131269,0.0551351,1,Ps,10.9833,0.540207,0.0242382,0.00370756,18.6100938429847,Sp,0.305115582621411,0.101890983454617,0.41159259058266,0.404663327440989,0.001,Ps
38,-118.5,10.8483,0.515759,0.154007,0.0622542,1,Ps,11.7043,0.413152,0.0236422,0.00139569,15.2550109670406,Sp,0.328333237001828,0.104020752149625,0.475897225038664,0.44850368281755,0.001,Ps
38.25,-118.5,10.8481,0.384136,0.151949,0.0612813,1,Ps,11.559,0.951467,0.0241178,0.00197975,14.0350035285815,Sp,0.327434964155139,0.10357901364014,0.437258589378394,0.43405475944501,0.001,Ps
38.5,-118.5,10.6794,0.510498,0.136655,0.0558856,1,Ps,9.94379,0,0.0214482,0,17.0007525408662,Sp,0.289334507689526,0.103512005507308,0.400465975590888,0.410441500445712,0.001,Ps
38.75,-118.5,10.3674,0.570219,0.113256,0.0523438,1,Ps,11.7841,0.380361,0.0250413,0.00311395,19.3237171732357,Sp,0.289564735786889,0.108827694048447,0.413356703323627,0.392975961163955,0.001,Ps
39,-118.5,10.4481,0.567564,0.100465,0.0501452,1,Ps,12.3574,0.855659,0.0264553,0.00343824,15.1800495899294,Sp,0.322610987651746,0.110147754413332,0.402186328072947,0.360375501405124,0.001,Ps
39.25,-118.5,10.436,0.567271,0.0894892,0.0498,1,Ps,11.2677,1.14416,0.0284725,0.00899216,15.7497901884489,Sp,0.667291372518402,0.11144860447671,0.525573031431249,0.304459629610781,0.001,Ps
39.5,-118.5,10.5348,0.565388,0.0765683,0.0485403,1,Ps,11.2958,0.605498,0.0435287,0.00978329,9.07988097962921,Sp,1.05032696231245,0.115013057831738,0.66526405857378,0.413579771613602,0.001,Ps
39.75,-118.5,10.1252,0.569205,0.0829914,0.0512885,1,Ps,11.7336,0.288264,0.0402162,0.00614586,22.5900282291905,Sp,0.908785185188855,0.108676897655596,0.562849831677022,0.381298433359826,0.001,Ps
40,-118.5,9.47332,0.496858,0.099507,0.0651533,1,Ps,11.8612,0.384833,0.0284287,0.00645094,27.9598412986053,Sp,0.631302288914848,0.103574602859677,0.480999499116366,0.276704402565759,0.001,Ps
40.25,-118.5,9.49343,0.366266,0.0886573,0.0582457,1,Ps,10.5569,0.512768,0.0375889,0.0101447,41.0200656137942,Sp,0.458253127788693,0.102650112873344,0.430695654563945,0.246581532384029,0.001,Ps
40.5,-118.5,9.48562,0.368141,0.109556,0.0693836,1,Ps,10.1226,0.1279,0.045176,0.00383784,34.6399008201411,Sp,0.353486464918811,0.104970236810795,0.41334796886623,0.291437327661926,0.001,Ps
